age,work_industry,job_title,annual_salary,currency,country,state_(US),city,overall_work_exp.,fieldwork _exp.,level_of_education,gender,race
45-54,Engineering/Manufacturing/Construction,Lead Engineer,100000.0,USD,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Government/Public Administration,Manager of Data Integrity and Prospect Research,65000.0,USD,USA,Virginia,Richmond,5 - 7 years,5 - 7 years,College degree,Man,White
25-34,Computing/IT/Tech,Principal Software Engineer,187500.0,USD,USA,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Computing/IT/Tech,Intelligence Analyst,110000.0,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Nonprofits,Project Manager,66625.0,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Computing/IT/Tech,Mobile developer,144600.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,PhD,Woman,White
35-44,Computing/IT/Tech,Product Design Director,200850.0,USD,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Research and Development Engineer 3,96000.0,USD,USA,California,Berkeley,5 - 7 years,5 - 7 years,PhD,Woman,White
25-34,Education,Science Teacher (Public High School),53000.0,USD,USA,Minnesota,Apple Valley,5 - 7 years,1 year or less,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,"Senior Manager, Programmatic",95000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Computing/IT/Tech,Managed Services Sales Coordinator,72000.0,USD,USA,Michigan,Troy,11 - 20 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Water Resources Engineer,106000.0,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Government/Public Administration,Program Officer,115000.0,USD,USA,District of Columbia,DC,5 - 7 years,5 - 7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business/Consulting/Administrative Work,Account Supervisor,100500.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Law,Legal Secretary,33200.0,USD,USA,New Jersey,Linden,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Education,Coordinator,52000.0,USD,USA,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
65 or over,Engineering/Manufacturing/Construction,Safety Director,104000.0,USD,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
18-24,Biotechnology/Pharma/Biology,Downstream Process Development Research Associate I,52000.0,USD,USA,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education,Research Programmer,70000.0,USD,USA,Rhode Island,Providence,5 - 7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000.0,USD,USA,District of Columbia,District of Columbia,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Medical/Health Care,AR Manager,53000.0,USD,USA,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Computing/IT/Tech,Technical specialist,34000.0,USD,USA,Minnesota,Minneapolis,5 - 7 years,5 - 7 years,College degree,Woman,White
25-34,Nonprofits,Programming Coordinator,38000.0,USD,USA,Colorado,Denver,5 - 7 years,2 - 4 years,Master's degree,Woman,White
25-34,Government/Public Administration,City Research Scientist II,87000.0,USD,USA,New York,New York City,5 - 7 years,2 - 4 years,Master's degree,Man,White
35-44,Others/Not Correctly Specified,Project engineer ,122000.0,USD,USA,,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Marketing Coordinator,45000.0,USD,USA,South Carolina,Columbia,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Tech Writer,88000.0,USD,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
35-44,Nonprofits,Supervisory Archivist,71000.0,USD,USA,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Program Manager,71000.0,USD,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
35-44,Education,High School Teacher at an independent school,75000.0,USD,USA,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Education,Manager of Market Research and Data,80000.0,USD,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
35-44,Computing/IT/Tech,Senior Business Analyst,125000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Education,Special Collections Cataloger,65000.0,USD,USA,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Art/Design/Media,Senior UX Designer,90000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Senior Engineer ,105000.0,USD,USA,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Education,Digital Archivist,65000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Associate Program Manager,85000.0,USD,USA,Illinois,Chicago,5 - 7 years,2 - 4 years,Master's degree,Woman,White
25-34,Sales,CSR,39520.0,USD,USA,Oregon,Portland,8 - 10 years,2 - 4 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Fuel Efficiency Program Analyst,76000.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,5 - 7 years,College degree,Woman,White
55-64,Business/Consulting/Administrative Work,Senior Vice President of Marketing,180000.0,USD,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Accounting Manager,90000.0,USD,USA,Tennessee,Nashville,5 - 7 years,5 - 7 years,Master's degree,Woman,White
55-64,Business/Consulting/Administrative Work,Senior Administrative Assistant and Project Specialist,65000.0,USD,USA,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
45-54,Computing/IT/Tech,senior web application developer,98166.0,USD,USA,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
25-34,Education,Director of Development,63500.0,USD,USA,Tennessee,Nashville,5 - 7 years,1 year or less,Master's degree,Woman,White
55-64,Others/Not Correctly Specified,Quality Assurance Lead,58.0,USD,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Nonprofits,Program & Administrative Assistant,47700.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Woman,White
55-64,Computing/IT/Tech,Chief Engineer,87000.0,USD,USA,Ohio,Solon,31 - 40 years,31 - 40 years,College degree,Man,White
25-34,Education,Administrative Support Assistant,39635.0,USD,USA,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Government/Public Administration,Administrative Officer,53000.0,USD,USA,North Carolina,Troy,8 - 10 years,5 - 7 years,College degree,Man,White
45-54,Education,Executive Secretary/Secretary to Board of School Trustees,47255.0,USD,USA,Indiana,Lafayette,31 - 40 years,21 - 30 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Senior Project Manager,196000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Man,White
45-54,Medical/Health Care,Customer Service Representative,34361.0,USD,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
45-54,Engineering/Manufacturing/Construction,Senior Device Engineer,150000.0,USD,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
25-34,Hospitality/Events/Entertainment,Graphic Designer,75000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Education,Graduate Student,20000.0,USD,USA,Minnesota,Minneapolis,5 - 7 years,2 - 4 years,College degree,Woman,White
25-34,Computing/IT/Tech,Senior Financial Analyst,107220.0,USD,USA,Texas,Austin,8 - 10 years,5 - 7 years,Master's degree,Woman,Asian or Asian American
45-54,Education,Professor,95000.0,USD,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
45-54,Sales,Office Manager,42000.0,USD,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Accounting/Banking/Finance,Finance Manager,100000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Education,Medical Education Director,119000.0,USD,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,Associate Director of Donor Relations,75000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Assistant Professor of Law,145000.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
25-34,Business/Consulting/Administrative Work,Content Writer,48000.0,USD,USA,Missouri,Kansas City,5 - 7 years,5 - 7 years,Master's degree,Woman,White
45-54,Accounting/Banking/Finance,Assistant Director of Finance,75000.0,USD,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Art/Design/Media,Digital Marketing Specialist,42000.0,USD,USA,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,Archivist,54000.0,USD,USA,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
55-64,Medical/Health Care,QC Supervisor,60000.0,USD,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
55-64,Nonprofits,Content Development Manager,101500.0,USD,USA,District of Columbia,"Washington, DC",31 - 40 years,21 - 30 years,College degree,Woman,White
25-34,Others/Not Correctly Specified,Clinical Research Assistant II,36883.0,USD,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Art/Design/Media,news editor,85000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Education,Senior Administrative Assistant ,62000.0,USD,USA,Massachusetts,Cambridge,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Product Manager,130000.0,USD,USA,,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Man,White
55-64,Education,career services professional,55000.0,USD,USA,,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
25-34,Government/Public Administration,Project Coordinator,59015.0,USD,USA,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,"Associate Manager, Education",71000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Social Work,Director,53000.0,USD,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Senior Librarian,63000.0,USD,USA,Virginia,Manassas,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Project Estimator,95000.0,USD,USA,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
35-44,Nonprofits,Customer Advocate,35000.0,USD,USA,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,College degree,Woman,White
18-24,Hospitality/Events/Entertainment,Customer Service Specialist,33280.0,USD,USA,Florida,"Small city, remote, national company",5 - 7 years,2 - 4 years,College degree,Non-binary,White
35-44,Accounting/Banking/Finance,Accounts Payable Manager,56000.0,USD,USA,Tennessee,Memphis,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Education,Associate Director,85000.0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Education,Editor,62000.0,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Staff Attorney,74000.0,USD,USA,Michigan,Grand Rapids,8 - 10 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofits,Program Associate,63000.0,USD,USA,District of Columbia,DC,5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Nonprofits,Online Sales Support Manager,86000.0,USD,USA,,New York City,11 - 20 years,8 - 10 years,College degree,Woman,White
35-44,Education,Research Technologist,42000.0,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Man,White
55-64,Biotechnology/Pharma/Biology,RIM Manager,114000.0,USD,USA,Massachusetts,Cambridge,21 - 30 years,8 - 10 years,College degree,Man,White
45-54,Insurance,Senior Client Service Representative,73000.0,USD,USA,Colorado,Denver,31 - 40 years,31 - 40 years,High School,Woman,White
45-54,Medical/Health Care,Clinical analyst,100000.0,USD,USA,Georgia,Gainesville,21 - 30 years,11 - 20 years,Master's degree,Woman,White
18-24,Government/Public Administration,Policy Analyst ,60129.0,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,1 year or less,Master's degree,Woman,White
45-54,Others/Not Correctly Specified,Research Scientist,135000.0,USD,USA,Texas,San Antonio,11 - 20 years,11 - 20 years,PhD,Woman,White
25-34,Computing/IT/Tech,Service Designer,130000.0,USD,USA,Virginia,McLean,11 - 20 years,5 - 7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Accounting/Banking/Finance,Senior Accountant,60000.0,USD,USA,Ohio,Columbus,5 - 7 years,5 - 7 years,Master's degree,Woman,White
35-44,Nonprofits,Administrative Assistant,37000.0,USD,USA,Ohio,Shaker Hts,11 - 20 years,5 - 7 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,User experience specialist,85000.0,USD,USA,South Carolina,Charleston,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Art/Design/Media,Self-employed writer,45000.0,USD,USA,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Nonprofits,Director of Development,92000.0,USD,USA,Massachusetts,Boston,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Production Technician,65000.0,USD,USA,Wisconsin,Madison,5 - 7 years,2 - 4 years,College degree,Man,White
35-44,Business/Consulting/Administrative Work,Graphic Designer,35000.0,USD,USA,Indiana,Mishawaka,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Accounting/Banking/Finance,Compliance Officer,74000.0,USD,USA,Oklahoma,Tulsa,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Director of Intelligence,102500.0,USD,USA,Florida,Tampa,5 - 7 years,5 - 7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
25-34,Government/Public Administration,Program Analyst,117500.0,USD,USA,,"Washington, DC",8 - 10 years,5 - 7 years,Master's degree,,"Hispanic, Latino, or Spanish origin"
35-44,Nonprofits,Coordinator of Survivor Services,70000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
45-54,Computing/IT/Tech,Software Development Manager,140000.0,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,College degree,Woman,White
35-44,Engineering/Manufacturing/Construction,Project Architect,58000.0,USD,USA,New Jersey,Lambertville,11 - 20 years,8 - 10 years,Master's degree,Woman,White
35-44,Business/Consulting/Administrative Work,Brand Consultant,400000.0,USD,USA,New York,Chatham,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Nonprofits,HR director,61200.0,USD,USA,Illinois,Skokie,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Talent Acquisition Specialist,66000.0,USD,USA,Georgia,Alpharetta,2 - 4 years,2 - 4 years,College degree,Woman,White
35-44,Computing/IT/Tech,technical support specialist,70000.0,USD,USA,Texas,Austin,8 - 10 years,5 - 7 years,College degree,Woman,Black or African American
25-34,Education,Communications Specialist,52000.0,USD,USA,Massachusetts,Boston,5 - 7 years,5 - 7 years,College degree,Woman,White
45-54,Engineering/Manufacturing/Construction,CAD Manager,75500.0,USD,USA,Florida,Northeast Florida,21 - 30 years,11 - 20 years,College degree,Woman,White
25-34,Business/Consulting/Administrative Work,Content Strategist and Writer,57000.0,USD,USA,Virginia,Richmond,8 - 10 years,2 - 4 years,Master's degree,Woman,White
25-34,Nonprofits,Associate,83200.0,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
18-24,Business/Consulting/Administrative Work,"Manager, Planning",77500.0,USD,USA,New York,New York City,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
35-44,Retail,Fulfillment Expert,31200.0,USD,USA,Florida,Altamonte Springs,11 - 20 years,1 year or less,College degree,Woman,White
35-44,Business/Consulting/Administrative Work,Associate Creative Director,215000.0,USD,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer
25-34,Others/Not Correctly Specified,Administrative Specialist,55000.0,USD,USA,Illinois,Chicago,8 - 10 years,5 - 7 years,College degree,Man,White
45-54,Law,Senior Corporate Counsel,220000.0,USD,USA,California,San Francisco,11 - 20 years,11 - 20 years,PhD,Woman,Asian or Asian American
25-34,Retail,Head of Data & Analytics,100000.0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Computing/IT/Tech,Systems Analyst,80000.0,USD,USA,,Portland,5 - 7 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,Associate Director ,63000.0,USD,USA,Texas,El Paso,11 - 20 years,8 - 10 years,,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Accounting/Banking/Finance,Lead business controls specialist,94000.0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Engineering/Manufacturing/Construction,Product Engineer,57000.0,USD,USA,Washington,Seattle,5 - 7 years,5 - 7 years,College degree,Woman,White
35-44,Computing/IT/Tech,Senior Technical Writer,83000.0,USD,USA,California,San Diego,8 - 10 years,5 - 7 years,College degree,Woman,White
35-44,Nonprofits,Senior Director,90000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Hospitality/Events/Entertainment,Hotel Sales Manager,66950.0,USD,USA,Indiana,Indianapolis,8 - 10 years,5 - 7 years,College degree,Woman,White
25-34,Government/Public Administration,Planner,76000.0,USD,USA,California,Merced,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
25-34,Nonprofits,Information and Program Manager,70000.0,USD,USA,Pennsylvania,Pittsburgh,8 - 10 years,5 - 7 years,Master's degree,Woman,White
25-34,Education,Assistant Professor,60000.0,USD,USA,,Birmingham,2 - 4 years,2 - 4 years,PhD,Non-binary,White
35-44,Engineering/Manufacturing/Construction,Media and PR,80000.0,USD,USA,Nebraska,Omaha,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Nonprofits,Technical assistance provider,70000.0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education,Library Specialist,34299.0,USD,USA,Maine,Portland,8 - 10 years,2 - 4 years,Master's degree,Woman,White
35-44,Education,"Assistant Director, Student Affairs",50000.0,USD,USA,New York,Westchester/NYC,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Hospitality/Events/Entertainment,Director of Client Services,85000.0,USD,USA,New York,New York City,11 - 20 years,5 - 7 years,College degree,Woman,White
35-44,Retail,Loss prevention manager,87000.0,USD,USA,California,San Jose,8 - 10 years,2 - 4 years,High School,Woman,White
35-44,Law,Associate Attorney,125000.0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,2 - 4 years,Master's degree,Woman,White
35-44,Sales,Administrative Associate,55000.0,USD,USA,Texas,Dallas,11 - 20 years,5 - 7 years,College degree,Woman,White
55-64,Law,Attorney,275000.0,USD,USA,Minnesota,Minneapolis,31 - 40 years,31 - 40 years,Master's degree,Woman,White
25-34,Others/Not Correctly Specified,Operations Manager,48500.0,USD,USA,Massachusetts,Boston,5 - 7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
35-44,Engineering/Manufacturing/Construction,Software engineer,139000.0,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Law,Paralegal / Legal Assistant,54080.0,USD,USA,Michigan,Grandville,11 - 20 years,11 - 20 years,College degree,Woman,White
35-44,Insurance,Manager & Actuary,170000.0,USD,USA,,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
45-54,Education,Librarian,70000.0,USD,USA,Texas,Houston,21 - 30 years,11 - 20 years,Master's degree,Man,White
25-34,Nonprofits,Communications Associate,53000.0,USD,USA,District of Columbia,"Washington, DC",5 - 7 years,2 - 4 years,College degree,Woman,White
35-44,Medical/Health Care,Cytotechnologist ,82160.0,USD,USA,Wisconsin,Eau Claire,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Business/Consulting/Administrative Work,Onboarding Partner,71000.0,USD,USA,New York,buffalo,11 - 20 years,2 - 4 years,College degree,Woman,White
18-24,Engineering/Manufacturing/Construction,Graduate Research Assitant,25700.0,USD,USA,Indiana,West Lafayette,5 - 7 years,5 - 7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Government/Public Administration,Deputy C-level,105000.0,USD,USA,,"Washington, DC",8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education,"Librarian, non-supervisory",77000.0,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
35-44,Medical/Health Care,Content Strategist,50000.0,USD,USA,Arizona,Phoenix,11 - 20 years,5 - 7 years,Master's degree,Woman,White
25-34,Government/Public Administration,Public Service Tech,31616.0,USD,USA,Georgia,Too identifiable,5 - 7 years,2 - 4 years,College degree,Non-binary,White
35-44,Government/Public Administration,EOS,95000.0,USD,USA,New York,New York City,11 - 20 years,8 - 10 years,Master's degree,Woman,White
18-24,Business/Consulting/Administrative Work,Data Analyst,62000.0,USD,USA,Massachusetts,Braintree,1 year or less,1 year or less,College degree,Woman,White
35-44,Medical/Health Care,Sr Associate - Quality Assurance,75000.0,USD,USA,Indiana,Clinton,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Education,High school teacher ,71000.0,USD,USA,New York,New York City,5 - 7 years,5 - 7 years,College degree,Non-binary,White
